Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Weekday,Quarter
1,2010-02-05,0.5711094160879573,0,0.3841320553780618,0.05010020040080154,0.8404997636089546,0.550476603119584,2010,2,4,1
1,2010-02-12,0.5704189005564552,1,0.3436634717784877,0.038076152304609145,0.8419410339432805,0.550476603119584,2010,2,4,1
1,2010-02-19,0.5584728177432313,0,0.35878594249201273,0.021042084168336528,0.8424053381244385,0.550476603119584,2010,2,4,1
1,2010-02-26,0.47791124632537363,0,0.43013844515441957,0.04458917835671339,0.8427068144486607,0.550476603119584,2010,2,4,1
1,2010-03-05,0.5357028105617538,0,0.4287539936102236,0.07665330661322645,0.8430082907728829,0.550476603119584,2010,3,4,1
1,2010-03-12,0.4897875111692146,0,0.5489882854100107,0.09769539078156297,0.843309767097105,0.550476603119584,2010,3,4,1
1,2010-03-19,0.5029226266255029,0,0.5148029818956336,0.1242484969939881,0.841678751518101,0.550476603119584,2010,3,4,1
1,2010-03-26,0.47580094472292933,0,0.48146964856230035,0.1302605210420842,0.8397256534610036,0.550476603119584,2010,3,4,1
1,2010-04-02,0.5517009925619016,0,0.5966986155484558,0.12374749498997994,0.8377725563923524,0.5074378971692663,2010,4,4,2
1,2010-04-09,0.5319630857414109,0,0.6349307774227901,0.14929859719438876,0.8358194593237012,0.5074378971692663,2010,4,4,2
1,2010-04-16,0.5003503082854026,0,0.6398296059637911,0.16833667334669333,0.8344933845755311,0.5074378971692663,2010,4,4,2
1,2010-04-23,0.4705532242627499,0,0.6240681576144835,0.1618236472945891,0.8340033402469662,0.5074378971692663,2010,4,4,2
1,2010-04-30,0.48403505542835024,0,0.6514376996805111,0.15430861723446876,0.8335132959184013,0.5074378971692663,2010,4,4,2
1,2010-05-07,0.5552808574558852,0,0.7061767838125665,0.18186372745490975,0.8330232515898368,0.5074378971692663,2010,5,4,2
1,2010-05-14,0.5115809431388498,0,0.7299254526091586,0.19138276553106204,0.8329981223026541,0.5074378971692663,2010,5,4,2
1,2010-05-21,0.4739016943930271,0,0.7476038338658146,0.17735470941883769,0.8357624852406582,0.5074378971692663,2010,5,4,2
1,2010-05-28,0.4868112189756868,0,0.7902023429179978,0.14378757515030038,0.8385268471902152,0.5074378971692663,2010,5,4,2
1,2010-06-04,0.559889548506219,0,0.7928647497337593,0.11673346693386777,0.8412912091397722,0.5074378971692663,2010,6,4,2
1,2010-06-11,0.5308248381323889,0,0.7900958466453675,0.09819639278557113,0.8440555720777758,0.5074378971692663,2010,6,4,2
1,2010-06-18,0.515179020376989,0,0.8292864749733759,0.08266533066132253,0.8440326084778929,0.5074378971692663,2010,6,4,2
1,2010-06-25,0.48308336484335446,0,0.8317358892438764,0.0906813627254508,0.842894715251302,0.5074378971692663,2010,6,4,2
1,2010-07-02,0.5108506329183458,0,0.7952076677316293,0.09869739478957906,0.8417568220247116,0.5044049682264586,2010,7,4,3
